"","sampleID","sample.mass","d15N","d13C","Amt.N","per.N","Amt.C","per.C"
"1","Onerka_LWA_31",0.489,11.155125,-23.1418784305904,0.068493039637437,0.14006756572073,0.269579238594421,0.551286786491658
"2","Onerka_LWA_32",0.438,11.198125,-22.380579121353,0.0651582304852143,0.148763083299576,0.23344443086183,0.53297815265258
"3","Onerka_LWA_33",0.45,11.476125,-21.9589300317941,0.0635730433536333,0.141273429674741,0.232976620483181,0.517725823295959
"4","Onerka_LWA_34",0.51,11.354125,-22.3273587583302,0.0728388188483299,0.142821213428098,0.281023379069502,0.551026233469612
"5","Onerka_LWA_35",0.425,12.379125,-21.8119322124954,0.0605914647038376,0.142568152244324,0.219084069844524,0.515491929045938
"6","Onerka_LWA_36",0.47,11.500125,-22.0705763543946,0.0686209334400399,0.146001986042638,0.227036846281551,0.483057119747981
"7","Onerka_LWA_37",0.472,11.956125,-21.8983963044102,0.0576655677095968,0.122172812944061,0.211236601371521,0.44753517239729
"8","Onerka_LWA_39",0.44,12.342125,-21.8810599848095,0.0579926974359823,0.131801585081778,0.217536852834621,0.494401938260501
"9","Onerka_LWA_40",0.469,11.577125,-22.9928775927661,0.060636706048976,0.129289351916793,0.243975227264311,0.520203043207487
"10","Onerka_LWA_41",0.457,11.999125,-22.0921448036318,0.0625620732949632,0.136897315743902,0.249593002114404,0.546155365677033
"11","Onerka_LWA_42",0.489,11.387125,-22.053157830953,0.0755628698411839,0.15452529619874,0.255397091054695,0.522284439784652
"12","Onerka_LWA_43",0.402,11.286125,-24.8369963990385,0.038861698623505,0.0966708920982712,0.210602728434218,0.52388738416472
"13","Onerka-LWA_44",0.499,11.594125,-24.2256277072138,0.0635634730690848,0.127381709557284,0.303822553280874,0.6088628322262
